2021-12-04 16:48:27,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:48:37,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:48:47,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:48:57,dht11_temp=21.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:49:07,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:49:17,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:49:27,dht11_temp=21.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:49:37,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:49:48,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:49:58,dht11_temp=21.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:50:08,dht11_temp=21.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:50:18,dht11_temp=20.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:50:28,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:50:38,dht11_temp=20.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:50:48,dht11_temp=20.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:50:58,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:51:08,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:51:18,dht11_temp=20.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:51:28,dht11_temp=20.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:51:38,dht11_temp=20.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:51:48,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:51:58,dht11_temp=20.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:52:08,dht11_temp=20.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:52:18,dht11_temp=20.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:52:28,dht11_temp=20.0000000000,dht11_humidity=41.0000000000
2021-12-04 16:52:38,dht11_temp=20.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:52:48,dht11_temp=20.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:52:58,dht11_temp=20.0000000000,dht11_humidity=41.0000000000
2021-12-04 16:53:08,dht11_temp=20.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:53:18,dht11_temp=20.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:53:28,dht11_temp=20.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:53:38,dht11_temp=21.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:53:48,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:53:58,dht11_temp=20.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:54:08,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:54:18,dht11_temp=21.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:54:29,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:54:39,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:54:49,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:54:59,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:55:09,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:55:19,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:55:29,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:55:39,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:55:49,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:55:59,dht11_temp=20.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:56:09,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:56:19,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:56:29,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:56:39,dht11_temp=21.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:56:49,dht11_temp=21.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:56:59,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:57:09,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:57:19,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:57:29,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:57:39,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:57:49,dht11_temp=21.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:57:59,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:58:09,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:58:19,dht11_temp=20.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:58:29,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:58:39,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:58:49,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:58:59,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:59:10,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:59:20,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:59:30,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:59:40,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:59:50,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:00:00,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:00:10,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:00:20,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:00:30,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:00:40,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:00:50,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:01:00,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:01:10,dht11_temp=20.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:01:20,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:01:30,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:01:40,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:01:50,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:02:00,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:02:10,dht11_temp=20.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:02:20,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:02:30,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:02:40,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:02:50,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:03:00,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:03:10,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:03:20,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:03:30,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:03:41,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:03:51,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:04:01,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 17:04:11,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:04:21,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:04:31,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:04:41,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:04:51,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:05:01,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:05:11,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:05:21,dht11_temp=23.0000000000,dht11_humidity=38.0000000000
2021-12-04 17:05:31,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 17:05:41,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:05:51,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:06:01,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:06:11,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:06:21,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:06:31,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:06:41,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:06:51,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:07:01,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:07:11,dht11_temp=23.0000000000,dht11_humidity=38.0000000000
2021-12-04 17:07:21,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:07:31,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:07:41,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:07:51,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:08:02,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:08:11,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:08:22,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:08:32,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:08:42,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:08:52,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:09:02,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:09:12,dht11_temp=23.0000000000,dht11_humidity=38.0000000000
2021-12-04 17:09:22,dht11_temp=23.0000000000,dht11_humidity=38.0000000000
2021-12-04 17:09:32,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:09:42,dht11_temp=23.0000000000,dht11_humidity=38.0000000000
2021-12-04 17:09:52,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:10:02,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 17:10:12,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 17:10:22,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 17:10:32,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
